scan_timestamp,sport,game_label,team,book_fair_prob,kalshi_price,entry_price,raw_edge,fee_cost,spread_cost,net_edge,side,kalshi_ticker,outcome
2026-09-05T19:18:52.218797+00:00,nfl,Carolina Panthers @ Atlanta Falcons,Atlanta Falcons,0.5467,0.365,0.37,0.1817,0.0164,0.005,0.1603,buy_yes,KXNFLGAME-26SEP13ATLPIT-ATL,
2026-09-05T19:18:52.218854+00:00,nfl,New Orleans Saints @ Baltimore Ravens,Baltimore Ravens,0.8312,0.635,0.64,0.1962,0.0162,0.005,0.175,buy_yes,KXNFLGAME-26SEP13BALIND-BAL,
2026-09-05T19:18:52.218911+00:00,nfl,Minnesota Vikings @ Chicago Bears,Chicago Bears,0.6938,0.585,0.59,0.1088,0.017,0.005,0.0868,buy_yes,KXNFLGAME-26SEP13CHICAR-CHI,
2026-09-05T19:18:52.218975+00:00,nfl,Cincinnati Bengals @ Houston Texans,Houston Texans,0.5739,0.505,0.51,0.0689,0.0175,0.005,0.0464,buy_yes,KXNFLGAME-26SEP13BUFHOU-HOU,
2026-09-05T19:18:52.219034+00:00,nfl,Cleveland Browns @ Tampa Bay Buccaneers,Tampa Bay Buccaneers,0.7892,0.345,0.35,0.4442,0.016,0.005,0.4232,buy_yes,KXNFLGAME-26SEP13TBCIN-TB,
2026-09-05T19:18:52.219093+00:00,nfl,Green Bay Packers @ New York Jets,New York Jets,0.2415,0.475,0.53,-0.2335,0.0175,0.005,0.211,buy_no,KXNFLGAME-26SEP13NYJTEN-NYJ,
2026-09-05T19:18:52.219146+00:00,nfl,Pittsburgh Steelers @ New England Patriots,New England Patriots,0.7216,0.385,0.39,0.3366,0.0167,0.005,0.3149,buy_yes,KXNFLGAME-26SEP09NESEA-NE,
2026-09-05T19:18:52.219201+00:00,nfl,Philadelphia Eagles @ Tennessee Titans,Tennessee Titans,0.2784,0.525,0.48,-0.2466,0.0175,0.005,0.2241,buy_no,KXNFLGAME-26SEP13NYJTEN-TEN,
2026-09-05T19:18:52.219293+00:00,nfl,Las Vegas Raiders @ Los Angeles Chargers,Los Angeles Chargers,0.8391,0.825,0.83,0.0141,0.0099,0.005,-0.0008,buy_yes,KXNFLGAME-26SEP13ARILAC-LAC,
2026-09-05T19:18:52.219351+00:00,nfl,Seattle Seahawks @ Arizona Cardinals,Arizona Cardinals,0.0994,0.185,0.82,-0.0856,0.0104,0.005,0.0702,buy_no,KXNFLGAME-26SEP13ARILAC-ARI,
2026-09-05T19:18:52.219441+00:00,nfl,Miami Dolphins @ San Francisco 49ers,San Francisco 49ers,0.9273,0.36,0.37,0.5673,0.0164,0.01,0.5409,buy_yes,KXNFLGAME-26SEP10SFLAR-SF,
2026-09-05T19:18:52.219548+00:00,nfl,New York Giants @ Los Angeles Rams,Los Angeles Rams,0.8496,0.645,0.65,0.2046,0.016,0.005,0.1836,buy_yes,KXNFLGAME-26SEP10SFLAR-LAR,
2026-09-05T19:18:52.219614+00:00,nfl,Atlanta Falcons @ Green Bay Packers,Green Bay Packers,0.8464,0.47,0.48,0.3764,0.0175,0.01,0.3489,buy_yes,KXNFLGAME-26SEP13GBMIN-GB,
2026-09-05T19:18:52.219675+00:00,nfl,Los Angeles Chargers @ Buffalo Bills,Buffalo Bills,0.6334,0.495,0.5,0.1384,0.0176,0.005,0.1158,buy_yes,KXNFLGAME-26SEP13BUFHOU-BUF,
2026-09-05T19:18:52.219733+00:00,nfl,Carolina Panthers @ Cleveland Browns,Cleveland Browns,0.4625,0.22,0.23,0.2425,0.0124,0.01,0.2201,buy_yes,KXNFLGAME-26SEP13CLEJAC-CLE,
2026-09-05T19:18:52.219787+00:00,nfl,Cincinnati Bengals @ Pittsburgh Steelers,Pittsburgh Steelers,0.4533,0.635,0.37,-0.1817,0.0164,0.005,0.1603,buy_no,KXNFLGAME-26SEP13ATLPIT-PIT,
2026-09-05T19:18:52.219843+00:00,nfl,New York Jets @ Detroit Lions,Detroit Lions,0.8683,0.745,0.75,0.1233,0.0132,0.005,0.1051,buy_yes,KXNFLGAME-26SEP13NODET-DET,
2026-09-05T19:18:52.219896+00:00,nfl,Houston Texans @ Indianapolis Colts,Indianapolis Colts,0.4533,0.375,0.38,0.0783,0.0165,0.005,0.0568,buy_yes,KXNFLGAME-26SEP13BALIND-IND,
2026-09-05T19:18:52.219991+00:00,nfl,Kansas City Chiefs @ Miami Dolphins,Miami Dolphins,0.1263,0.16,0.85,-0.0337,0.009,0.01,0.0147,buy_no,KXNFLGAME-26SEP20MIASF-MIA,
2026-09-05T19:18:52.220107+00:00,nfl,Arizona Cardinals @ San Francisco 49ers,San Francisco 49ers,0.9273,0.36,0.37,0.5673,0.0164,0.01,0.5409,buy_yes,KXNFLGAME-26SEP10SFLAR-SF,
2026-09-05T19:18:52.220164+00:00,nfl,Minnesota Vikings @ Tampa Bay Buccaneers,Tampa Bay Buccaneers,0.5467,0.345,0.35,0.2017,0.016,0.005,0.1807,buy_yes,KXNFLGAME-26SEP13TBCIN-TB,
2026-09-05T19:18:52.220253+00:00,nfl,Las Vegas Raiders @ New Orleans Saints,New Orleans Saints,0.6856,0.265,0.27,0.4206,0.0138,0.005,0.4018,buy_yes,KXNFLGAME-26SEP13NODET-NO,
2026-09-05T19:18:52.220341+00:00,nfl,Philadelphia Eagles @ Chicago Bears,Chicago Bears,0.525,0.585,0.42,-0.06,0.0171,0.005,0.0379,buy_no,KXNFLGAME-26SEP13CHICAR-CHI,
2026-09-05T19:18:52.220395+00:00,nfl,Pittsburgh Steelers @ Cleveland Browns,Cleveland Browns,0.4261,0.22,0.23,0.2061,0.0124,0.01,0.1837,buy_yes,KXNFLGAME-26SEP13CLEJAC-CLE,
2026-09-05T19:18:52.220529+00:00,nfl,Tennessee Titans @ Baltimore Ravens,Baltimore Ravens,0.8562,0.635,0.64,0.2212,0.0162,0.005,0.2,buy_yes,KXNFLGAME-26SEP13BALIND-BAL,
2026-09-05T19:18:52.220595+00:00,nfl,New England Patriots @ Buffalo Bills,Buffalo Bills,0.6422,0.495,0.5,0.1472,0.0176,0.005,0.1246,buy_yes,KXNFLGAME-26SEP13BUFHOU-BUF,
2026-09-05T19:18:52.220652+00:00,nfl,New York Jets @ Chicago Bears,Chicago Bears,0.8737,0.585,0.59,0.2887,0.017,0.005,0.2667,buy_yes,KXNFLGAME-26SEP13CHICAR-CHI,
2026-09-05T19:18:52.220709+00:00,nfl,Jacksonville Jaguars @ Cincinnati Bengals,Cincinnati Bengals,0.5739,0.655,0.35,-0.0811,0.016,0.005,0.0601,buy_no,KXNFLGAME-26SEP13TBCIN-CIN,
2026-09-05T19:18:52.220762+00:00,nfl,Dallas Cowboys @ Houston Texans,Houston Texans,0.5739,0.505,0.51,0.0689,0.0175,0.005,0.0464,buy_yes,KXNFLGAME-26SEP13BUFHOU-HOU,
2026-09-05T19:18:52.220818+00:00,nfl,Green Bay Packers @ Tampa Bay Buccaneers,Tampa Bay Buccaneers,0.4533,0.345,0.35,0.1083,0.016,0.005,0.0873,buy_yes,KXNFLGAME-26SEP13TBCIN-TB,
2026-09-05T19:18:52.220909+00:00,nfl,Miami Dolphins @ Minnesota Vikings,Minnesota Vikings,0.8624,0.535,0.54,0.3274,0.0174,0.005,0.305,buy_yes,KXNFLGAME-26SEP13GBMIN-MIN,
2026-09-05T19:18:52.220961+00:00,nfl,Denver Broncos @ San Francisco 49ers,San Francisco 49ers,0.5911,0.36,0.37,0.2311,0.0164,0.01,0.2047,buy_yes,KXNFLGAME-26SEP10SFLAR-SF,
2026-09-05T19:18:52.221045+00:00,nfl,Los Angeles Chargers @ Seattle Seahawks,Seattle Seahawks,0.6556,0.625,0.63,0.0306,0.0164,0.005,0.0092,buy_yes,KXNFLGAME-26SEP09NESEA-SEA,
